Algoritmo,Arquivo,Palavra,Threads,Iteracao,Ocorrencias,Tempo_ms
SerialCPU,DonQuixote-388208.txt,que,1,1,25828,7
ParallelCPU,DonQuixote-388208.txt,que,2,1,25828,12
ParallelCPU,DonQuixote-388208.txt,que,4,1,25828,4
ParallelCPU,DonQuixote-388208.txt,que,8,1,25828,5
ParallelGPU,DonQuixote-388208.txt,que,0,1,25828,934
SerialCPU,DonQuixote-388208.txt,que,1,2,25828,1
ParallelCPU,DonQuixote-388208.txt,que,2,2,25828,1
ParallelCPU,DonQuixote-388208.txt,que,4,2,25828,3
ParallelCPU,DonQuixote-388208.txt,que,8,2,25828,2
ParallelGPU,DonQuixote-388208.txt,que,0,2,25828,102
SerialCPU,DonQuixote-388208.txt,que,1,3,25828,0
ParallelCPU,DonQuixote-388208.txt,que,2,3,25828,2
ParallelCPU,DonQuixote-388208.txt,que,4,3,25828,1
ParallelCPU,DonQuixote-388208.txt,que,8,3,25828,4
ParallelGPU,DonQuixote-388208.txt,que,0,3,25828,103
SerialCPU,Dracula-165307.txt,the,1,1,10438,1
ParallelCPU,Dracula-165307.txt,the,2,1,10438,1
ParallelCPU,Dracula-165307.txt,the,4,1,10438,1
ParallelCPU,Dracula-165307.txt,the,8,1,10438,1
ParallelGPU,Dracula-165307.txt,the,0,1,10438,101
SerialCPU,Dracula-165307.txt,the,1,2,10438,0
ParallelCPU,Dracula-165307.txt,the,2,2,10438,1
ParallelCPU,Dracula-165307.txt,the,4,2,10438,1
ParallelCPU,Dracula-165307.txt,the,8,2,10438,1
ParallelGPU,Dracula-165307.txt,the,0,2,10438,93
SerialCPU,Dracula-165307.txt,the,1,3,10438,0
ParallelCPU,Dracula-165307.txt,the,2,3,10438,0
ParallelCPU,Dracula-165307.txt,the,4,3,10438,0
ParallelCPU,Dracula-165307.txt,the,8,3,10438,1
ParallelGPU,Dracula-165307.txt,the,0,3,10438,103
SerialCPU,MobyDick-217452.txt,the,1,1,19060,0
ParallelCPU,MobyDick-217452.txt,the,2,1,19060,1
ParallelCPU,MobyDick-217452.txt,the,4,1,19060,1
ParallelCPU,MobyDick-217452.txt,the,8,1,19060,9
ParallelGPU,MobyDick-217452.txt,the,0,1,19060,103
SerialCPU,MobyDick-217452.txt,the,1,2,19060,1
ParallelCPU,MobyDick-217452.txt,the,2,2,19060,1
ParallelCPU,MobyDick-217452.txt,the,4,2,19060,2
ParallelCPU,MobyDick-217452.txt,the,8,2,19060,1
ParallelGPU,MobyDick-217452.txt,the,0,2,19060,102
SerialCPU,MobyDick-217452.txt,the,1,3,19060,1
ParallelCPU,MobyDick-217452.txt,the,2,3,19060,1
ParallelCPU,MobyDick-217452.txt,the,4,3,19060,2
ParallelCPU,MobyDick-217452.txt,the,8,3,19060,1
ParallelGPU,MobyDick-217452.txt,the,0,3,19060,103
